DATE,OPEN,HIGH,LOW,CLOSE ,VOLUME
9/19/2001,50.1042,50.3932,46.857,47.5797,10005522
9/20/2001,46.6161,47.3099,44.6698,46.2307,11328656
9/21/2001,45.0263,45.0938,41.6154,41.7503,13614438
9/24/2001,41.9141,43.7159,41.3552,42.6174,18879704
9/25/2001,43.3786,44.1302,39.2354,39.8135,18474944
9/26/2001,40.4495,43.8026,40.4495,43.7737,17006682
9/27/2001,41.4227,47.175,41.4227,46.5776,24898610
9/28/2001,47.0208,51.2411,45.9609,50.9906,27009850
10/1/2001,50.875,52.3203,48.813,50.0174,37843360
10/3/2001,50.2969,50.4703,46.6547,47.5219,18516930
10/4/2001,47.994,49.2948,46.9341,48.0711,27622154
10/5/2001,47.9844,49.526,46.9437,48.3023,13235350
10/8/2001,46.6354,49.3237,46.3464,48.6299,19253762
10/9/2001,49.1406,49.6802,48.0229,48.7745,19191104
10/10/2001,48.5625,50.8365,48.5625,49.7477,16774802
10/11/2001,50.1042,51.7807,50.1042,51.1448,14728550
10/12/2001,51.482,52.5708,51.087,51.4628,16272326
10/15/2001,51.1833,53.3224,50.6823,52.725,12291284
10/16/2001,52.9755,53.3609,52.3492,52.725,8406950
10/17/2001,52.9948,55.2495,52.6094,54.8352,11063250
10/18/2001,53.9005,54.0547,52.8214,53.1779,7838106
10/19/2001,53.0911,53.6693,52.7057,53.2839,7209356
10/22/2001,53.332,54.6135,52.0313,52.5708,7819550
10/23/2001,53.3224,53.5055,52.6576,52.9755,4918178
10/24/2001,53.5729,53.5729,50.9906,51.2508,8875736
10/25/2001,51.8385,51.9349,50.4414,50.8557,5139164
10/29/2001,51.2604,52.1083,49.5453,50.1909,5652914
10/30/2001,49.3333,49.6609,48.3987,48.6685,6428976
10/31/2001,48.9479,49.8055,47.8398,49.025,19892406
11/1/2001,49.526,50.663,49.1888,50.2391,10135666
11/2/2001,50.2005,51.8385,50.1138,50.6727,8204724
11/5/2001,50.7594,50.7594,49.5742,50.3932,6362038
